
="",="(1)"
="",=""

="0b.child0",=""
="1.age",="0.0000"
="",="(.)"

="2.age",="0.0000"
="",="(.)"

="3.age",="0.0000"
="",="(.)"

="4.age",="0.0000"
="",="(.)"

="5.age",="0.0000"
="",="(.)"

="6.age",="0.0000"
="",="(.)"

="7.age",="0.0000"
="",="(.)"

="8.age",="0.0000"
="",="(.)"

="9.age",="0.0000"
="",="(.)"

="10.age",="0.0000"
="",="(.)"

="11.age",="0.0000"
="",="(.)"

="12.age",="0.0000"
="",="(.)"

="13.age",="0.0000"
="",="(.)"

="14.age",="0.0000"
="",="(.)"

="15.age",="0.0000"
="",="(.)"

="1.child0",=""
="1.age",="0.0252***"
="",="(0.0072)"

="2.age",="0.0005"
="",="(0.0057)"

="3.age",="-0.0279***"
="",="(0.0052)"

="4.age",="-0.0573***"
="",="(0.0057)"

="5.age",="-0.0551***"
="",="(0.0062)"

="6.age",="-0.0501***"
="",="(0.0062)"

="7.age",="-0.0441***"
="",="(0.0059)"

="8.age",="-0.0311***"
="",="(0.0056)"

="9.age",="-0.0369***"
="",="(0.0055)"

="10.age",="-0.0214***"
="",="(0.0054)"

="11.age",="-0.0188**"
="",="(0.0058)"

="12.age",="-0.0153*"
="",="(0.0068)"

="13.age",="-0.0046"
="",="(0.0094)"

="14.age",="-0.0152"
="",="(0.0166)"

="15.age",="-0.0210"
="",="(0.0403)"

="N",="385269"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
