
="",="(1)"
="",=""

="0b.child0",=""
="1.country",="0.0000"
="",="(.)"

="2.country",="0.0000"
="",="(.)"

="3.country",="0.0000"
="",="(.)"

="4.country",="0.0000"
="",="(.)"

="5.country",="0.0000"
="",="(.)"

="6.country",="0.0000"
="",="(.)"

="7.country",="0.0000"
="",="(.)"

="8.country",="0.0000"
="",="(.)"

="9.country",="0.0000"
="",="(.)"

="10.country",="0.0000"
="",="(.)"

="11.country",="0.0000"
="",="(.)"

="12.country",="0.0000"
="",="(.)"

="13.country",="0.0000"
="",="(.)"

="14.country",="0.0000"
="",="(.)"

="15.country",="0.0000"
="",="(.)"

="16.country",="0.0000"
="",="(.)"

="17.country",="0.0000"
="",="(.)"

="18.country",="0.0000"
="",="(.)"

="19.country",="0.0000"
="",="(.)"

="20.country",="0.0000"
="",="(.)"

="21.country",="0.0000"
="",="(.)"

="22.country",="0.0000"
="",="(.)"

="23.country",="0.0000"
="",="(.)"

="24.country",="0.0000"
="",="(.)"

="25.country",="0.0000"
="",="(.)"

="26.country",="0.0000"
="",="(.)"

="27.country",="0.0000"
="",="(.)"

="28.country",="0.0000"
="",="(.)"

="29.country",="0.0000"
="",="(.)"

="30.country",="0.0000"
="",="(.)"

="31.country",="0.0000"
="",="(.)"

="32.country",="0.0000"
="",="(.)"

="33.country",="0.0000"
="",="(.)"

="34.country",="0.0000"
="",="(.)"

="35.country",="0.0000"
="",="(.)"

="36.country",="0.0000"
="",="(.)"

="37.country",="0.0000"
="",="(.)"

="38.country",="0.0000"
="",="(.)"

="1.child0",=""
="1.country",="-0.0384***"
="",="(0.0068)"

="2.country",="0.0152**"
="",="(0.0048)"

="3.country",="-0.0315***"
="",="(0.0088)"

="4.country",="-0.0153"
="",="(0.0085)"

="5.country",="0.0308***"
="",="(0.0054)"

="6.country",="-0.0259***"
="",="(0.0056)"

="7.country",="-0.0128*"
="",="(0.0057)"

="8.country",="-0.0305***"
="",="(0.0065)"

="9.country",="-0.0678***"
="",="(0.0082)"

="10.country",="-0.0450***"
="",="(0.0071)"

="11.country",="-0.0482***"
="",="(0.0071)"

="12.country",="0.0041"
="",="(0.0076)"

="13.country",="-0.0922***"
="",="(0.0063)"

="14.country",="-0.0210**"
="",="(0.0072)"

="15.country",="0.0120"
="",="(0.0086)"

="16.country",="0.0597***"
="",="(0.0159)"

="17.country",="0.0015"
="",="(0.0060)"

="18.country",="-0.0406***"
="",="(0.0068)"

="19.country",="0.0010"
="",="(0.0078)"

="20.country",="-0.0306***"
="",="(0.0072)"

="21.country",="-0.0075"
="",="(0.0051)"

="22.country",="-0.0221*"
="",="(0.0094)"

="23.country",="0.0102"
="",="(0.0093)"

="24.country",="-0.0296*"
="",="(0.0121)"

="25.country",="-0.0207*"
="",="(0.0104)"

="26.country",="-0.0791***"
="",="(0.0086)"

="27.country",="-0.0474***"
="",="(0.0097)"

="28.country",="-0.0682***"
="",="(0.0115)"

="29.country",="-0.0771***"
="",="(0.0117)"

="30.country",="-0.0481***"
="",="(0.0101)"

="31.country",="-0.0424**"
="",="(0.0139)"

="32.country",="-0.0310"
="",="(0.0208)"

="33.country",="-0.0523**"
="",="(0.0195)"

="34.country",="-0.0851***"
="",="(0.0127)"

="35.country",="-0.0467*"
="",="(0.0213)"

="36.country",="-0.0345"
="",="(0.0263)"

="37.country",="-0.0267"
="",="(0.0199)"

="38.country",="-0.0449*"
="",="(0.0225)"

="N",="385269"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
